Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD210507,10000.00,1328.00,18.390922,50.357469,-203402.301334,6.310452,27.477865,1.370,47.2132,1.85186,12.066,1.93649,0,14.6385,9.99087,10.7959,1.50718
HD219495,10000.00,1328.00,29.127729,80.263974,-340775.910902,10.314259,44.214285,1.744,49.924,1.50462,14.9198,1.34865,0,9.61609,10.1953,10.8391,1.65242
HIP116939,10000.00,1328.00,18.972438,52.063764,-208042.423533,6.477980,28.411710,1.232,46.2599,1.54133,11.8243,2.03384,0,15.4023,10.6374,10.4255,1.87546
HIP25612,10000.00,1328.00,25.210109,69.074957,-282400.182643,8.598144,38.384952,1.083,44.0568,1.42961,14.3201,1.81426,0,13.8346,11.9784,11.1286,1.43774
HD17051,10000.00,1328.00,22.534617,61.825131,-254958.022840,7.809671,33.972913,1.453,47.578,1.54559,13.6926,1.70744,0,12.7955,10.4,10.8018,1.47904
HD144497,10000.00,1328.00,20.493689,56.077609,-225308.902844,6.962088,30.828053,1.141,44.9702,1.5981,12.684,1.99305,0,15.3675,11.047,10.8511,1.48901
HD95521,10000.00,1328.00,20.927190,57.358816,-233870.842878,7.201118,31.456912,1.356,46.8371,1.75039,12.996,1.83448,0,13.7931,10.3979,10.8755,1.5155
HD870,10000.00,1328.00,19.237736,52.579769,-210421.211790,6.515338,28.885905,1.118,44.7686,1.67005,12.4277,2.03659,0,15.8259,10.9725,10.8967,1.40195
HD8326,10000.00,1328.00,19.806228,54.211500,-221021.878655,6.815027,29.700307,1.391,47.0994,1.66302,12.9034,1.85189,0,13.9648,10.0823,11.0437,1.39154
HD78429,10000.00,1328.00,21.464973,58.814569,-240444.800362,7.384010,32.333581,1.341,46.6074,1.61469,13.3916,1.80446,0,13.7177,10.6204,10.8182,1.42563
HD195302,10000.00,1328.00,18.889905,51.819255,-208460.164835,6.472292,28.290712,1.304,46.781,1.67167,12.0955,1.95919,0,14.8732,10.4556,10.4335,1.73026
